GEOID,bias_base,best_model,best_bias,imp_share_pct
01001,4913.935949999999,CSB_field_modal,4006.5643499999983,18.46527120484752
01003,33377.507925000005,MMU_15ac_nb4_w3_iter3,31722.666729999997,4.9579531183648315
01025,1311.492845,MMU_25ac_nb4_w3_iter3,776.1290200000001,40.82094896979785
01049,5848.649899999999,MMU_5ac_nb8_w3_iter3,5135.651529999999,12.190819799283934
01057,8182.24638,CSB_field_modal,7636.044260000001,6.675454326761545
01073,1080.82572,MMU_1ac_nb8_w3_iter3,565.16797,47.709611314579014
01097,3663.97642,MMU_2ac_nb8_w3_iter3,2823.5457149999993,22.93766685867483
01101,5377.966985,MMU_35ac_nb4_w3_iter3,5076.844155000001,5.599194469580772
01131,1525.3183700000004,MMU_35ac_nb4_w3_iter3,318.8288150000001,79.09755620395498
04001,4288.5521,Baseline,4288.5521,-0.13483035451522035
04007,190.4588,Baseline,190.4588,-16.697829136800195
04012,9664.985685,MMU_25ac_nb4_w3_iter3,5144.807310000006,46.768598757629654
04013,51460.51671500001,MMU_25ac_nb4_w3_iter3,34823.33861,32.32998649652212
05015,160.22549,MMU_5ac_nb4_w3_iter3,137.5412,14.157728586131954
05019,6070.86984,MMU_35ac_nb4_w3_iter3,4134.921365,31.889144818166617
05029,4286.782550000002,MMU_5ac_nb8_w9_iter3,4080.844780000002,4.804017176005333
05069,7937.837285,CSB_field_modal,2941.3024600000017,62.94579550580947
05073,6731.427530000002,MMU_35ac_nb4_w3_iter3,3574.7529000000022,46.894579432544205
05093,56034.71367500005,Baseline,56034.71367500005,-0.6266859986770223
05107,60281.91954000001,MMU_15ac_nb4_w3_iter3,59628.96782,1.083163450969315
05117,26474.886020000005,CSB_field_modal,20753.641275000013,21.61008262954551
05131,601.9374250000002,MMU_35ac_nb4_w9_iter3,591.452775,1.7418172661386209
05145,30088.196725000005,MMU_35ac_nb4_w3_iter3,20805.874215,30.85037828899666
06007,11781.802349999998,CSB_field_modal,9704.916855000014,17.62790983333703
06009,1631.902185,CSB_field_modal,1540.49784,5.601092138987481
06011,79755.60861000002,MMU_35ac_nb4_w3_iter3,69898.83981500001,12.35871553961678
06017,3985.504,Baseline,3985.504,-10.13903674416085
06019,106439.15669000005,MMU_35ac_nb4_w3_iter3,49004.09117500011,53.960466524812254
06023,2260.780595,MMU_35ac_nb4_w3_iter3,1944.979695,13.96866642868544
06033,9505.16917,Baseline,9505.16917,-1.2985484297277352
06037,18725.613045,CSB_field_modal,18724.05628,0.00831355959487188
06045,5955.0638500000005,CSB_field_modal,5316.34541,10.725635460650862
06053,212243.724045,CSB_field_modal,205488.253525,3.18288352242052
06083,59783.952285,CSB_field_modal,56834.327399999995,4.933807104185164
06097,16748.207445,CSB_field_modal,12149.078844999996,27.46042294438516
06113,37530.63993500003,MMU_35ac_nb4_w3_iter3,18000.355825000017,52.03823900638213
08023,9041.85343,MMU_35ac_nb4_w3_iter3,5131.259750000001,43.24991231360847
08037,6914.834075,MMU_35ac_nb4_w3_iter3,3505.7411200000006,49.30115340475468
08043,304.12785499999995,CSB_field_modal,253.86658500000004,16.526361914465184
08053,387.634485,MMU_25ac_nb4_w3_iter3,83.842915,78.37062535857717
08057,2.446345,MMU_15ac_nb4_w3_iter3,0,100
08067,13432.26256,MMU_35ac_nb8_w3_iter3,923.762095000001,93.12281091235609
08091,69.26273499999999,Baseline,69.26273499999999,-239.57079517578973
08111,1.77916,MMU_15ac_nb4_w3_iter3,0,100
09009,2282.194255,MMU_1ac_nb8_w3_iter1,1923.47112,15.718343616634863
12009,6293.230945,MMU_35ac_nb4_w3_iter3,1827.76174,70.95670322646963
12023,4532.074890000001,MMU_35ac_nb4_w3_iter3,1422.4192350000003,68.61439253489476
12031,1087.354495,MMU_35ac_nb8_w9_iter3,522.2364200000001,51.97183417170682
12041,9116.070165,MMU_35ac_nb8_w3_iter3,6564.7448349999995,27.98711817506069
12045,1045.70129,MMU_25ac_nb4_w9_iter3,360.057505,65.56784347086345
12071,16418.61791,MMU_35ac_nb4_w3_iter3,3704.5181550000007,77.43708894800635
12093,6372.703080000001,MMU_35ac_nb4_w3_iter3,1880.546475,70.49059949298628
