GEOID
11001
08111
48443
21195
51685
08065
21133
51610
51830
51690
36047
22087
36061
34003
08047
29510
51520
51580
51595
51640
51680
51730
51750
51770
34017
36005
51678
51670
51720
51735
51740
51700
51775
51570
51760
51600
51630
51650
53055
25019
24510
51530
51510
51683
51620
51710
51820
34039
51540
51790
51590
51660
51840
